@relation atp_matches_2018_ab-weka.filters.unsupervised.attribute.Remove-R1

@attribute surface {Hard,Clay,Grass}
@attribute 0rank numeric
@attribute 1rank numeric
@attribute winner {0rank,1rank}

@data
Hard,6,113,0rank
Hard,45,26,0rank
Hard,39,32,0rank
Hard,9,54,0rank
Hard,8,86,0rank
Hard,24,108,0rank
Hard,29,89,0rank
Hard,123,10,0rank
Hard,87,11,0rank
Hard,59,84,0rank
Hard,199,142,0rank
Hard,38,107,0rank
Hard,5,51,0rank
Hard,60,18,0rank
Hard,6,45,0rank
Hard,9,39,0rank
Hard,8,24,0rank
Hard,29,123,0rank
Hard,59,87,0rank
Hard,38,199,0rank
Hard,5,60,0rank
Hard,9,6,0rank
Hard,8,29,0rank
Hard,59,38,0rank
Hard,9,5,0rank
Hard,8,59,0rank
Hard,9,8,0rank
Hard,15,195,0rank
Hard,41,81,0rank
Hard,56,417,0rank
Hard,42,147,0rank
Hard,30,138,0rank
Hard,74,116,0rank
Hard,112,66,0rank
Hard,34,78,0rank
Hard,50,37,0rank
Hard,46,179,0rank
Hard,99,72,0rank
Hard,23,70,0rank
Hard,33,159,0rank
Hard,82,88,0rank
Hard,43,115,0rank
Hard,117,4,0rank
Hard,15,41,0rank
Hard,42,56,0rank
Hard,74,30,0rank
Hard,34,112,0rank
Hard,50,46,0rank
Hard,23,99,0rank
Hard,82,33,0rank
Hard,117,43,0rank
Hard,15,42,0rank
Hard,34,74,0rank
Hard,23,50,0rank
Hard,117,82,0rank
Hard,15,34,0rank
Hard,23,117,0rank
Hard,23,15,0rank
Clay,194,170,0rank
Clay,67,109,0rank
Clay,65,79,0rank
Clay,143,103,0rank
Clay,131,620,0rank
Clay,49,102,0rank
Clay,106,58,0rank
Clay,96,149,0rank
Clay,69,132,0rank
Clay,57,135,0rank
Clay,73,91,0rank
Clay,225,125,0rank
Clay,20,194,0rank
Clay,67,65,0rank
Clay,31,143,0rank
Clay,49,131,0rank
Clay,106,96,0rank
Clay,69,35,0rank
Clay,73,57,0rank
Clay,22,225,0rank
Clay,20,67,0rank
Clay,31,49,0rank
Clay,69,106,0rank
Clay,73,22,0rank
Clay,20,31,0rank
Clay,73,69,0rank
Clay,20,73,0rank
Hard,65,68,0rank
Hard,126,90,0rank
Hard,93,70,0rank
Hard,42,78,0rank
Hard,109,111,0rank
Hard,47,153,0rank
Hard,59,83,0rank
Hard,141,56,0rank
Hard,85,95,0rank
Hard,169,75,0rank
Hard,97,50,0rank
Hard,102,255,0rank
Hard,110,101,0rank
Hard,53,89,0rank
Hard,117,64,0rank
Hard,77,166,0rank
Hard,76,41,0rank
Hard,94,63,0rank
Hard,57,52,0rank
Hard,66,40,0rank
Hard,48,200,0rank
Hard,49,99,0rank
Hard,74,199,0rank
